CODGEO;POP;SUPERF;NAIS1420;DECE1420;MEN;LOG;RP;RSECOCC;LOGVAC;RP_PROP;EMPLT;EMPLT_SAL;POP1564;CHOM1564;ACT1564;Ville
76540;114187;21.38;8628;5200;65299;74683;65299;1968;7415;18212;87657;79367;81870;9562;55563;Rouen
76575;28331;18.25;2568;1508;11986;13152;11986;121;1044;5393;15634;14872;17311;2242;11285;Saint-Étienne-du-Rouvray
76681;29071;7.44;2347;2127;13703;14895;13703;209;981;6762;10517;9708;17595;2193;12879;Sotteville-lès-Rouen
77058;26551;13.39;2562;420;10893;11512;10893;132;486;5399;9539;8528;18987;1570;14947;Bussy-Saint-Georges
77083;25230;7.35;2183;638;10464;11138;10464;134;539;4827;9905;9039;16949;1528;12083;Champs-sur-Marne
77108;54372;15.9;5447;1920;22370;24155;22370;315;1469;12736;13912;12279;34413;3077;26522;Chelles
77122;21657;14.48;1827;780;8848;9383;8848;71;463;5743;5418;4844;13664;1083;10589;Combs-la-Ville
77152;22318;10.24;2414;863;9228;9824;9228;91;504;3924;6348;5762;14086;1595;10170;Dammarie-les-Lys
77243;21139;5.72;1790;750;9569;10485;9569;166;749;5304;7365;6480;13662;1229;10802;Lagny-sur-Marne
77284;55709;14.98;5965;2081;23384;25511;23384;207;1919;8721;22796;20682;36034;4024;26964;Meaux
77285;20677;5.34;2115;830;7849;8801;7849;309;642;3558;3078;2745;12648;1567;9159;Le Mée-sur-Seine
77288;41609;8.04;4962;1634;17824;20273;17824;248;2200;5042;25460;23407;27282;3265;20289;Melun
77294;20620;29.95;1768;736;7417;8020;7417;128;475;4502;9705;8894;13273;1260;10110;Mitry-Mory
77305;21888;9.1;2080;941;8071;8823;8071;50;701;2076;8897;8131;13056;1867;8356;Montereau-Fault-Yonne
77350;20712;15.58;1236;619;8315;8869;8315;150;403;5540;4921;4112;13425;918;10368;Ozoir-la-Ferrière
77373;37579;13.64;3218;1194;14693;15548;14693;121;733;8823;9995;8729;24564;1863;19066;Pontault-Combault
77390;22643;13.65;1884;718;8186;8488;8186;52;249;5448;6352;5729;14837;1244;11322;Roissy-en-Brie
77445;30169;11.97;2790;684;10402;10874;10402;21;449;5925;6749;6154;19967;1947;14849;Savigny-le-Temple
77468;22500;6.0;2373;586;9025;9616;9025;187;402;4017;7623;6913;14806;1451;11376;Torcy
77514;26700;8.29;2785;758;10449;11323;10449;112;760;5701;4974;4340;17361;1539;13299;Villeparisis
78005;21660;9.44;2060;517;9015;9579;9015;76;487;3759;4570;4123;14331;1386;11357;Achères
78126;20496;5.82;1349;830;8418;9106;8418;132;556;4470;3545;2809;12714;933;9602;La Celle-Saint-Cloud
78146;29709;5.08;2263;1222;12814;14219;12814;304;1099;7767;6728;5495;18700;1200;14648;Chatou
78158;31057;7.02;1719;1505;14750;16347;14750;475;1121;8930;11682;10283;18321;1253;14214;Le Chesnay-Rocquencourt
78172;35957;9.9;3085;1651;14472;15733;14472;139;1122;8916;8743;7515;22818;1611;17575;Conflans-Sainte-Honorine
78208;25857;8.51;2385;614;10887;11881;10887;166;827;6727;13433;12684;16931;1323;13533;Élancourt
78297;29269;13.0;2662;535;11925;12839;11925;323;591;4671;35951;34620;19902;1568;15567;Guyancourt
78311;33250;4.43;2842;1054;14014;15243;14014;228;1000;9039;5368;4250;21791;1451;17604;Houilles
78358;23204;6.75;1660;1192;10466;11672;10466;426;780;6215;6724;5571;14455;863;11669;Maisons-Laffitte
78361;43945;9.38;5199;1608;17072;18104;17072;84;947;5165;14632;13213;27385;3689;18459;Mantes-la-Jolie
78362;20844;6.06;2312;805;8355;9112;8355;88;668;3907;4661;4219;12618;1651;9504;Mantes-la-Ville
78423;31854;11.65;2580;680;14274;15263;14274;327;661;8254;23073;21578;21455;1256;16560;Montigny-le-Bretonneux
78440;33543;11.99;3817;944;11559;12250;11559;89;602;4890;12543;11756;20249;2464;14007;Les Mureaux
78490;30897;18.68;2847;1078;12161;13002;12161;123;716;6892;13718;12665;19720;1619;15483;Plaisir
78498;39731;13.28;3891;1605;17035;18253;17035;248;970;7032;22625;21169;24616;2513;19101;Poissy
78517;27043;35.19;1795;1224;12649;13916;12649;347;918;6673;12737;11343;16731;1148;12798;Rambouillet
78545;20611;5.01;1873;589;8481;9426;8481;352;592;3836;3109;2661;13781;964;11048;Saint-Cyr-l'École
78551;44410;51.94;2927;1714;19639;21590;19639;763;1187;9088;18519;16006;27645;2075;21023;Saint-Germain-en-Laye
78586;51746;8.46;5169;2095;21215;22646;21215;204;1226;11851;11466;9993;33685;3085;26099;Sartrouville
78621;33419;13.47;4005;735;11735;12847;11735;105;1006;3687;17253;16162;21242;2510;15564;Trappes
78640;22836;8.93;1759;807;10313;11711;10313;549;848;4226;40054;38500;15168;854;12502;Vélizy-Villacoublay
78646;83583;26.18;6628;3694;37102;42379;37102;1954;3321;16119;47175;41601;52816;3193;40112;Versailles
79191;58966;68.2;3532;3434;30897;34987;30897;1062;3027;15012;47376;43706;36825;3688;27821;Niort
80001;22895;26.42;1482;1727;11264;12653;11264;237;1151;4443;14063;12911;13657;2112;9310;Abbeville
80021;134167;49.76;10106;6320;67663;76686;67663;2058;6964;20922;79598;73698;91484;11991;59679;Amiens
81004;49094;44.26;2643;3785;26351;29784;26351;1015;2417;12138;30925;27063;29795;3441;20117;Albi
81065;42394;98.17;2561;2748;20598;23716;20598;409;2708;11430;23394;20592;24988;2876;18046;Castres
82121;61677;135.17;4344;3429;28358;32474;28358;520;3596;15407;37843;33371;37757;3815;26758;Montauban
83050;39434;53.75;2913;2168;17692;21294;17692;645;2956;8860;16683;14291;23714;2698;16797;Draguignan
83061;55750;102.27;3589;3428;26727;44829;26727;16602;1500;14625;21024;17025;31436;3333;23222;Fréjus
83062;25563;15.54;1386;1614;12341;13299;12341;327;630;5950;12818;11422;15599;1448;10631;La Garde
83069;54615;132.38;2990;4032;27168;39885;27168;10109;2608;13442;23852;19677;30830;3145;22337;Hyères
83118;35881;89.59;1570;3247;18896;36385;18896;16064;1425;12076;10405;7809;16876;1667;12035;Saint-Raphaël
83126;62232;22.17;4707;4245;29499;36912;29499;3778;3634;15559;19476;16517;36256;4033;25700;La Seyne-sur-Mer
83129;35339;26.58;1631;2605;17950;27439;17950;8220;1268;11517;9742;7629;18866;1717;13854;Six-Fours-les-Plages
83137;179659;42.84;12453;10884;89522;95201;89522;2224;3453;39851;81196;70275;108942;11271;77022;Toulon
83144;24114;15.5;1404;1603;11672;12615;11672;159;784;6828;10752;9370;14359;1194;11036;La Valette-du-Var
84007;90597;64.91;8873;4925;43396;54503;43396;2543;8563;15303;58466;51196;55869;8724;37985;Avignon
84031;29865;37.92;2490;1802;13382;15634;13382;457;1794;6180;13460;11337;17138;2512;12217;Carpentras
84035;25832;45.96;2328;1538;12004;14018;12004;279;1733;5265;13893;12068;15281;1766;11021;Cavaillon
84054;20029;44.57;1104;1247;9690;11458;9690;934;833;5374;7099;5481;11732;1420;8959;L'Isle-sur-la-Sorgue
84087;28454;74.2;2323;1755;12920;14528;12920;233;1373;6071;14119;12318;16938;2042;12185;Orange
84089;20498;66.23;1578;934;9459;10465;9459;175;830;5155;7726;6288;12622;1252;9845;Pertuis
85047;21900;64.84;901;1340;10600;11527;10600;212;714;6581;11990;10575;11992;1163;8878;Challans
85146;20578;116.65;1278;757;8710;9217;8710;148;357;6079;14022;12815;13150;758;10537;Montaigu-Vendée
85191;55213;87.52;3088;2899;28285;30616;28285;803;1527;13460;44483;41233;34855;3476;24828;La Roche-sur-Yon
85194;46941;85.66;1526;4120;24905;41697;24905;15369;1422;16448;18392;15199;23107;2225;16686;Les Sables-d'Olonne
86066;31573;51.93;2188;2369;15780;18472;15780;450;2241;8339;18832;17307;18055;2516;12660;Châtellerault
86194;90033;42.11;6031;3508;50003;56062;50003;1675;4383;15021;61107;56043;63399;7016;39352;Poitiers
87085;130592;78.03;8769;7567;73000;82609;73000;2369;7240;28748;82596;75148;83412;9734;56556;Limoges
88160;31832;59.24;2186;1872;15932;19042;15932;372;2737;6617;23161;21089;19983;2489;13885;Épinal
89024;34151;49.95;2435;2471;17477;21000;17477;588;2933;6996;25057;22860;20828;2326;14931;Auxerre
89387;26854;21.9;2266;1848;13104;14912;13104;351;1456;4765;16169;14529;15601;2477;11344;Sens
90010;45458;17.1;3782;2332;23352;27654;23352;357;3943;7452;25670;23478;29469;4177;20444;Belfort
91027;35641;8.56;3734;1268;14295;15268;14295;114;858;6166;10043;9237;22579;1521;17195;Athis-Mons
91103;27006;14.56;2723;788;11048;12045;11048;153;844;5308;11430;10604;17435;1672;13896;Brétigny-sur-Orge
91114;25344;6.62;1881;1153;10664;11451;10664;116;670;7059;5359;4532;15738;1027;11943;Brunoy
91174;52340;11.01;6788;1659;21007;23366;21007;155;2203;8215;20585;18901;34230;2853;24494;Corbeil-Essonnes
91201;28595;15.75;2108;1266;11651;12398;11651;84;663;6825;6573;5658;17317;1515;13122;Draveil
91223;26251;40.92;2433;1009;10618;11917;10618;110;1189;4691;11053;9928;16901;1956;12573;Étampes
91228;66106;12.7;7993;1650;26242;28503;26242;583;1677;10835;40181;37604;43722;5293;31051;Évry-Courcouronnes
91272;21439;11.6;1049;654;9590;10663;9590;345;727;5863;10058;9167;13734;770;9587;Gif-sur-Yvette
91286;27571;4.87;3794;666;9205;10108;9205;26;876;2906;7458;6935;17492;2321;11219;Grigny
91345;21105;4.84;2057;759;8852;9722;8852;113;756;4674;7258;6558;13441;1166;10414;Longjumeau
91377;50506;9.43;5826;1572;22516;24132;22516;683;932;8932;31916;29739;34003;2792;27088;Massy
91421;23943;11.22;1926;1205;9418;10190;9418;91;680;5651;5603;4869;14975;1176;11188;Montgeron
91434;20149;4.39;1800;780;8117;9190;8117;119;954;5279;2943;2399;12617;1188;9745;Morsang-sur-Orge
91477;34750;11.51;3044;1032;15771;17492;15771;583;1136;7404;16282;15017;23654;1569;17478;Palaiseau
91521;29643;8.71;3075;1062;11404;12268;11404;89;774;6167;6716;5772;18415;1909;13715;Ris-Orangis
91549;35879;9.27;3031;1547;14951;15400;14951;136;312;8726;10322;8999;22473;2002;17172;Sainte-Geneviève-des-Bois
91570;21298;5.29;1822;729;8829;9785;8829;117;838;4625;4397;3948;13200;1296;10320;Saint-Michel-sur-Orge
91589;37190;6.97;3110;1552;15468;16982;15468;239;1275;9724;5939;4876;24169;2122;18611;Savigny-sur-Orge
91657;31495;8.77;3251;1101;11853;12674;11853;112;709;5594;4137;3510;19895;2261;15103;Vigneux-sur-Seine
91687;31098;6.07;3353;1215;13055;14774;13055;172;1546;6444;8378;7539;19440;2201;15095;Viry-Châtillon
91691;29097;9.84;2145;1208;12082;12846;12082;103;660;8429;4605;3703;18156;1395;14280;Yerres
91692;25165;5.18;2566;578;9699;10385;9699;164;521;3575;15573;14702;16130;1818;11815;Les Ulis
92002;62906;9.56;4974;2303;27375;29673;27375;497;1800;15775;22651;19995;40139;2846;31295;Antony
92004;88004;4.82;9597;2910;39065;45001;39065;1568;4367;16501;22783;19309;59332;5051;47678;Asnières-sur-Seine
92007;41967;4.19;4147;1485;17450;18572;17450;303;818;4253;11475;10284;27866;3318;21554;Bagneux
92009;29555;1.92;2320;1079;13368;14662;13368;373;920;7076;12583;11325;19800;1425;15750;Bois-Colombes
92012;120911;6.17;10024;4506;59417;67734;59417;3822;4494;26197;90145;79216;80223;5750;65566;Boulogne-Billancourt
92014;20974;1.86;1439;810;9175;10053;9175;195;682;4787;5253;4395;13523;903;10359;Bourg-la-Reine
92019;34383;6.38;2887;1247;14838;16078;14838;212;1027;6405;7588;6644;22547;1920;17491;Châtenay-Malabry
92020;36392;2.92;3169;1335;16658;18249;16658;572;1017;8212;15194;13844;24254;1719;19571;Châtillon
92022;20524;3.55;1677;737;9140;10047;9140;200;706;4774;3591;2894;13643;903;11016;Chaville
92023;53179;8.77;3976;2545;22696;24914;22696;750;1468;11629;18514;16306;34173;2663;26926;Clamart
92024;62933;3.08;5992;1866;29330;32077;29330;949;1797;8350;36191;33076;43468;4461;34224;Clichy
92025;86775;7.81;8432;3218;35908;38933;35908;659;2365;16274;31508;28289;57580;5546;44200;Colombes
92026;82074;4.17;7944;2757;39514;48189;39514;4559;4114;16932;100483;94379;56229;4056;45321;Courbevoie
92032;25174;2.51;1827;980;11035;11831;11035;240;556;4702;7082;6349;15871;1429;12237;Fontenay-aux-Roses
92035;29624;1.78;2654;934;13739;15409;13739;369;1300;6736;10700;9312;20103;1312;16480;La Garenne-Colombes
92036;49880;11.64;5121;1683;19378;20310;19378;150;781;4303;41930;39812;31691;4498;23316;Gennevilliers
92040;67937;4.25;6253;2172;32002;36846;32002;2530;2314;13517;55742;51596;46237;2920;37847;Issy-les-Moulineaux
92044;67258;2.41;6304;2067;32574;36388;32574;1290;2524;12333;60623;55391;45137;3217;37211;Levallois-Perret
92046;31230;2.07;2218;1053;14912;16284;14912;582;789;4252;15399;13847;21271;2069;16564;Malakoff
92048;45825;9.9;3315;2008;19953;21702;19953;461;1287;10620;17522;15413;28685;2178;22500;Meudon
92049;47907;2.07;4243;1758;24093;27273;24093;1215;1964;9611;29000;26398;32843;2576;26638;Montrouge
92050;95782;12.19;10085;3072;39000;42091;39000;959;2131;11042;88087;83045;65008;6730;49259;Nanterre
92051;59388;3.73;3914;3259;28929;34921;28929;2801;3190;14272;47315;41525;36176;2522;27509;Neuilly-sur-Seine
92060;29562;3.43;2272;901;13300;14014;13300;265;449;6226;14770;13747;18848;1180;15483;Le Plessis-Robinson
92062;44009;3.19;4322;1389;21096;25065;21096;1827;2141;8069;80522;76317;30332;2421;25082;Puteaux
92063;78265;14.7;5941;2993;34085;37135;34085;686;2364;17535;41943;38193;50117;3699;39556;Rueil-Malmaison
92064;29560;7.56;2144;1284;12832;14344;12832;515;996;7127;17058;15203;18434;1138;14459;Saint-Cloud
92071;20359;3.6;924;999;9034;9678;9034;336;308;4312;5778;4813;12546;799;9240;Sceaux
92072;23108;3.91;1585;985;10069;10767;10069;261;436;5464;9728;8611;14641;1213;11840;Sèvres
92073;49482;3.79;4431;1631;22021;23870;22021;519;1329;8196;28081;25536;33257;2691;27192;Suresnes
92075;27871;1.56;1759;1113;13384;15325;13384;930;1010;5988;7834;6711;18596;1263;14586;Vanves
92078;24592;3.2;2609;826;9370;9927;9370;140;417;2364;9456;8785;15500;1993;10942;Villeneuve-la-Garenne
93001;89401;5.76;9434;2487;34274;36718;34274;278;2165;7691;34052;30359;60985;8629;43000;Aubervilliers
93005;86485;16.2;8584;2737;30794;32492;30794;269;1428;13767;27755;25196;55318;7245;39038;Aulnay-sous-Bois
93006;38470;2.57;3309;1437;15655;17229;15655;183;1390;5055;13655;11920;25895;3210;19162;Bagnolet
93007;57989;8.05;6424;1762;20436;21640;20436;283;921;8094;11775;10441;37290;5128;26113;Le Blanc-Mesnil
93008;54906;6.77;5883;1663;19278;20418;19278;138;1000;5115;30127;28309;35360;4458;22884;Bobigny
93010;53342;5.47;6216;1990;20106;21801;20106;159;1536;8257;12436;11051;34071;4672;24204;Bondy
93014;29568;3.95;3760;631;9047;9536;9047;49;439;3055;5278;4778;18273;1993;10883;Clichy-sous-Bois
93027;46828;7.52;4853;1151;15980;16829;15980;136;712;4103;13102;11780;31288;5217;21588;La Courneuve
93029;71276;7.76;8008;2618;27999;30459;27999;328;2131;11967;12909;11105;46239;6555;33620;Drancy
93031;54419;4.57;6079;1667;20665;22277;20665;217;1394;7185;9563;8494;35288;4444;25035;Épinay-sur-Seine
93032;39588;6.83;3873;1491;15553;16585;15553;141;891;9087;5293;4385;25282;2521;19147;Gagny
93045;23276;1.26;1965;880;10845;11901;10845;183;873;4278;5168;4248;15329;1542;11995;Les Lilas
93046;45618;7.38;4896;1811;18490;19992;18490;206;1294;10410;8450;7147;28901;2761;21819;Livry-Gargan
93047;28006;5.45;2650;1039;9500;9932;9500;60;371;5824;6515;5622;17617;1742;12216;Montfermeil
93048;111367;8.92;11069;3635;48931;52793;48931;961;2899;17506;56848;50323;75226;9859;58506;Montreuil
93049;20934;3.42;1708;821;9196;10105;9196;294;614;5254;5944;5109;14030;1235;10999;Neuilly-Plaisance
93050;36535;6.86;3608;1077;14576;15216;14576;88;551;5978;9333;8403;23855;2042;17644;Neuilly-sur-Marne
93051;68930;12.95;6738;1901;28472;30584;28472;458;1654;13961;27918;25504;45207;4533;34625;Noisy-le-Grand
93053;45043;5.04;4675;1350;17418;18800;17418;153;1228;6192;10733;9564;29163;3493;21421;Noisy-le-Sec
93055;60419;5.01;6209;1983;25870;27581;25870;554;1157;7300;29842;27091;40481;4801;31102;Pantin
93057;23904;2.92;2731;970;9687;10603;9687;116;800;5219;5539;4766;15583;1647;12107;Les Pavillons-sous-Bois
93059;31344;3.41;3665;850;10954;11708;10954;88;665;3423;5551;4892;20451;2755;13855;Pierrefitte-sur-Seine
93063;31469;3.44;3026;916;12692;13720;12692;68;959;4790;7424;6497;20589;2282;15129;Romainville
93064;45442;5.91;5286;1565;19098;21399;19098;465;1835;8505;15048;13753;29567;3219;22945;Rosny-sous-Bois
93066;113116;12.36;13502;3140;46024;50015;46024;850;3140;9930;88807;83284;77060;11671;54749;Saint-Denis
93070;51547;4.31;5650;1576;23439;27002;23439;758;2804;5231;36793;33577;36174;4712;27760;Saint-Ouen-sur-Seine
93071;51778;7.28;5691;1499;17437;18436;17437;114;884;7984;8732;7702;32888;4520;22975;Sevran
93072;39193;5.39;4261;1231;13712;14785;13712;45;1027;3810;8852;7917;25158;3390;16792;Stains
93073;36477;22.44;3497;1352;13485;14365;13485;132;747;7783;25227;23857;23379;2609;17704;Tremblay-en-France
93077;30583;4.04;2818;1122;12613;13546;12613;96;836;6376;5010;4194;19905;1625;15181;Villemomble
93078;38204;10.37;3992;969;12632;13429;12632;155;642;6654;16168;15116;24555;3009;16943;Villepinte
94002;45151;3.67;4486;1557;21118;23191;21118;193;1879;6460;11827;10240;30256;3487;23569;Alfortville
94003;21840;2.33;1869;744;10142;11030;10142;190;697;3085;16931;15964;14993;1359;11245;Arcueil
94016;30214;2.74;2388;1526;13581;14706;13581;250;874;4947;7621;6875;20464;2054;14658;Cachan
94017;77439;11.3;7288;2731;30734;32846;30734;332;1778;13905;17644;15170;50686;5212;37493;Champigny-sur-Marne
94018;29632;1.85;2773;1024;13994;15819;13994;727;1096;5539;14579;13082;19400;1350;15525;Charenton-le-Pont
94021;20372;4.22;1696;702;8121;8877;8121;322;433;3527;8207;7632;13143;1029;9754;Chevilly-Larue
94022;46229;5.43;5030;1444;19806;21263;19806;301;1155;7663;10834;9490;30847;3483;23594;Choisy-le-Roi
94028;92566;11.46;9058;2780;38878;40796;38878;360;1557;13397;55346;51897;60890;6252;45520;Créteil
94033;51386;5.58;4138;2051;21810;24021;21810;395;1815;10343;30181;27684;33329;3109;26075;Fontenay-sous-Bois
94034;28556;3.56;2601;927;11240;12129;11240;104;784;5334;7820;7091;19637;1289;13542;Fresnes
94038;31647;3.9;2669;1276;13022;14074;13022;163;889;5980;5283;4354;19550;1834;14764;L'Haÿ-les-Roses
94041;64016;6.1;5883;2183;29048;32001;29048;974;1977;8800;32777;29755;44561;4855;32933;Ivry-sur-Seine
94043;24513;1.54;2179;823;11593;13170;11593;392;1183;3274;13484;12503;17225;1806;13178;Le Kremlin-Bicêtre
94044;28290;6.93;3391;795;10460;11234;10460;153;620;5629;6382;5719;18142;1461;14257;Limeil-Brévannes
94046;57639;5.35;4784;2023;26528;29118;26528;765;1825;11642;16285;14354;38668;2900;30681;Maisons-Alfort
94052;33578;2.8;2779;1297;15468;17231;15468;423;1340;8542;8398;6921;21276;1593;17071;Nogent-sur-Marne
94054;24361;6.69;2565;872;9572;10156;9572;82;501;3281;22796;21766;15525;1820;11303;Orly
94058;33697;3.96;2646;1319;15037;16820;15037;326;1456;9400;5471;4251;21669;1498;17430;Le Perreux-sur-Marne
94067;21991;0.92;1851;952;10444;11822;10444;414;963;5388;8043;6843;14102;996;11236;Saint-Mandé
94068;74520;11.25;4959;3517;34456;37672;34456;635;2579;21668;20099;16031;47123;2964;36664;Saint-Maur-des-Fossés
94071;27040;10.43;1787;1122;11061;11177;11061;56;59;7264;7086;6135;16820;1219;12695;Sucy-en-Brie
94073;30788;6.43;2638;1097;13191;13991;13191;219;581;7072;10618;9614;20345;1727;15692;Thiais
94076;56349;5.34;5075;2106;25392;27997;25392;846;1758;9328;22949;21027;38010;4141;27668;Villejuif
94077;21411;8.4;1967;762;8503;8784;8503;42;238;4887;6106;5380;13578;1393;10331;Villeneuve-le-Roi
94078;34845;8.75;4298;1163;12744;13826;12744;84;997;4164;10423;9662;22947;2636;16045;Villeneuve-Saint-Georges
94079;29672;4.33;2756;1080;12555;13288;12555;214;518;6385;5414;4780;19727;1335;14828;Villiers-sur-Marne
94080;49697;1.91;4141;1783;24893;27772;24893;1233;1645;11903;17312;14330;33561;2304;28043;Vincennes
94081;95649;11.67;9199;3098;38046;40848;38046;629;2171;14167;27711;25016;62954;6859;45354;Vitry-sur-Seine
95018;108567;17.22;13250;3672;42116;45613;42116;393;3102;18750;29181;26172;70732;8296;52101;Argenteuil
95063;31866;4.16;3477;936;12381;13711;12381;105;1224;5532;13030;12014;20892;2211;16136;Bezons
95127;67790;11.65;8351;1256;27204;30373;27204;813;2354;8793;32823;30529;46353;5309;33044;Cergy
95176;26074;8.48;2007;1086;10371;11238;10371;178;688;6828;5575;4778;16825;1200;13257;Cormeilles-en-Parisis
95197;22050;3.76;2211;739;9627;10678;9627;59;991;5707;3430;2813;14600;1055;11422;Deuil-la-Barre
95203;25498;4.42;2191;1350;10402;11113;10402;109;600;6933;7480;6528;16076;1118;12531;Eaubonne
95219;29230;4.16;2776;1172;12484;13045;12484;101;460;6107;6834;5980;18441;1587;14252;Ermont
95252;37347;6.19;3737;1314;15732;16577;15732;176;668;8967;6777;5828;24079;2248;19175;Franconville
95268;43215;5.47;4834;1059;14072;14755;14072;100;583;4837;8208;7344;28016;3229;18345;Garges-lès-Gonesse
95277;25853;20.09;3150;1089;9654;10131;9654;83;393;4031;15297;14291;16768;1826;11929;Gonesse
95280;30910;11.52;3493;963;10289;11323;10289;391;642;5464;8533;7765;20046;2028;13576;Goussainville
95306;31747;12.74;2587;970;11843;13061;11843;68;1149;7755;8162;7000;20634;1539;15756;Herblay-sur-Seine
95424;22186;4.07;2237;610;7552;7900;7552;51;297;4040;3733;3228;14011;1516;10385;Montigny-lès-Cormeilles
95428;21688;5.37;1668;1305;9040;10118;9040;193;884;5124;4168;3329;13301;1051;10283;Montmorency
95500;31973;7.15;3208;1192;13671;15029;13671;229;1129;5003;14698;13217;21140;1781;15653;Pontoise
95555;20914;2.42;1697;941;8932;9713;8932;141;639;4449;3823;3169;12979;1331;10002;Saint-Gratien
95572;24743;12.21;2701;758;10039;10515;10039;49;426;4753;20114;18764;16127;1412;12282;Saint-Ouen-l'Aumône
95582;26524;4.78;2346;892;10692;11465;10692;109;663;5862;4938;4119;17337;1598;13361;Sannois
95585;58483;8.45;6873;2120;19611;20697;19611;155;931;5916;14533;12993;36657;5331;25221;Sarcelles
95607;26607;10.48;2091;1066;10639;11508;10639;190;679;6983;7279;6469;16812;1422;13010;Taverny
95680;28636;7.3;3738;851;9793;10499;9793;104;601;3166;5109;4586;17901;2489;12443;Villiers-le-Bel
97101;52948;81.25;4474;2694;24719;31267;24719;806;5741;11181;22475;19250;33398;6696;22785;Les Abymes
97103;30316;46.0;2206;831;13024;14521;13024;204;1292;6551;27054;22974;19987;2685;14628;Baie-Mahault
97113;26919;45.2;2269;1211;12692;17620;12692;2643;2285;7364;6241;4626;17077;2732;12922;Le Gosier
97117;22230;82.84;1514;1208;9891;13203;9891;1384;1928;6488;5322;3913;13700;3062;9863;Le Moule
97118;24412;129.88;1806;938;10651;12402;10651;781;969;6498;4881;3591;15521;2685;11640;Petit-Bourg
97128;24430;80.29;1539;1095;11242;16552;11242;4036;1273;7406;4201;2976;15220;3461;11034;Sainte-Anne
97209;75286;44.21;5580;4912;37253;47402;37253;913;9235;15000;42465;36788;46785;7514;33489;Fort-de-France
97213;39628;62.32;2841;1616;18295;21768;18295;249;3223;8755;26283;23241;25605;3621;19454;Le Lamentin
97222;21627;47.3;1484;984;9577;11900;9577;953;1369;5999;4682;3734;13704;2550;10072;Le Robert
97302;65956;23.6;10806;1927;25233;29621;25233;865;3522;5476;30313;26726;42267;8849;28666;Cayenne
97304;24805;2160.0;3905;444;7660;8973;7660;393;918;2745;8584;7668;15824;3331;11039;Kourou
97307;34474;137.19;5002;620;11058;12883;11058;277;1546;5080;7919;6829;21450;3791;13788;Matoury
97309;25793;46.11;2432;456;9619;10520;9619;182;718;4356;6845;5803;17418;1979;12640;Remire-Montjoly
97311;49173;4830.0;12233;845;11324;12380;11324;479;576;5002;9599;7300;27191;7854;17049;Saint-Laurent-du-Maroni
97407;32619;16.62;3532;1146;12206;13009;12206;65;736;4116;20354;18563;21173;5912;13712;Le Port
97408;33370;118.35;3541;728;13018;14249;13018;188;1043;6566;7288;5973;22310;3594;16628;La Possession
97409;56857;53.07;6202;1720;21018;22998;21018;320;1659;10091;12491;10220;36565;8109;23369;Saint-André
97410;36994;229.61;4142;1297;13889;16020;13889;81;2048;7606;10119;8725;23387;5206;14561;Saint-Benoît
97411;153001;142.79;14303;4962;66819;75236;66819;1111;7304;20109;64865;57687;100289;19687;69707;Saint-Denis
97412;38465;178.5;3323;1566;15392;16859;15392;287;1179;9209;7798;6084;24451;7153;16782;Saint-Joseph
97413;34740;118.37;3271;1080;13786;15949;13786;739;1422;8600;8253;6478;23061;5792;17035;Saint-Leu
97414;53744;98.9;5904;1909;19835;22619;19835;632;2151;11537;12571;10608;34420;7956;22257;Saint-Louis
97415;104301;241.28;8816;3207;39904;48896;39904;4113;4878;24602;30912;25542;69078;12537;47050;Saint-Paul
97416;83930;95.99;7911;2980;33766;38878;33766;1350;3761;17124;38687;33103;55437;12433;38970;Saint-Pierre
97418;34350;87.21;3500;867;13107;14527;13107;146;1272;6789;12978;11636;22901;4274;16579;Sainte-Marie
97420;24086;57.84;2177;685;8814;9450;8814;56;579;4996;4996;4189;16083;3500;11461;Sainte-Suzanne
97422;80778;165.43;7374;2593;32851;35825;32851;936;2036;16858;17716;13630;52171;12504;36565;Le Tampon
