Ville;Sum_Nbr_demandeur_emploi;Avg_Taux_satisfaction;Avg_Nombre_retours_emploi;Avg_Taux_notification
Commercy;1863;85;2212;94
Compiegne ;3008;86;4467;95
Concarneau ;1837;87;3078;94
Conde Sur L Escaut;3006;83;2642;94
Condom;1961;96;2914;93
Conflans Ste Honorine;2842;82;3345;93
Confolens;2431;84;3177;95
Corbeil Essonnes;5898;79;8444;92
Cosne-Cours-Sur-Loire Cedex;1847;87;2452;90
Coulommiers;3218;90;4077;93
Courbevoie;5396;85;5948;93
Cournon D Auvergne;3175;86;4764;92
Coutances;1952;87;3581;94
Creil;5867;81;4455;94
Crepy En Valois ;2129;85;3008;94
Crest;3182;87;4283;95
Creteil;6137;78;6093;94
Creutzwald;2535;91;3346;95
Croix;1978;79;2280;94
Cherbourg En Cotentin;1957;82;3238;92
Dammarie Les Lys ;7571;86;10146;93
Dax;2789;89;5113;94
Decazeville;1193;93;1794;95
Decize;1665;78;2123;94
Denain;6517;84;6160;94
Dieppe ;4749;85;6672;94
Digne Les Bains;4330;84;5943;91
Digoin;2334;87;3969;94
Dijon;3400;86;5770;96
Dijon Cedex;6902;84;5242;94
Dinan ;3427;92;6273;94
Dole Cedex;2939;85;5100;91
Domont;3199;81;3687;94
Douai ;6795;80;7697;93
Douarnenez ;3185;87;4609;94
Doullens;1648;90;1906;93
Dourdan;1394;88;1874;93
Draguignan;4905;86;6299;93
Drancy;4612;86;4066;95
Dreux;3757;88;4613;93
Dunkerque;7127;83;8737;93
Echirolles;3629;90;6432;96
Elbeuf ;3345;86;4085;96
Epernay;2564;87;3737;94
Epinal;6283;88;4062;94
Epinay Sur Seine;4145;84;4460;95
Ermont;4025;85;4631;92
Etampes;3363;83;4431;94
Evreux ;7148;84;4911;95
Evry;5432;77;7340;93
Eysines;3668;84;5997;94
Falaise;1704;87;2871;95
Fecamp;2128;85;3276;96
Figeac ;1863;92;3039;94
Firminy;2988;88;3504;93
Fitz James;3763;86;5611;94
Flers ;3157;83;4670;93
Foix ;2526;86;3274;92
Fontaine;3107;89;4947;95
Fontenay Le Comte ;2209;86;4306;93
